Strategy,CAGR,Sharpe Ratio,Max Drawdown,CAGR_norm,Sharpe_norm,Drawdown_norm,Score
RSI 21 | 30-65,-0.0694,-1.15,0.6663,1.0,1.0,0.0,0.9
RSI 21 | 30-70,-0.0694,-1.15,0.6663,1.0,1.0,0.0,0.9
RSI 21 | 35-65,-0.1158,-1.37,0.847,0.6610664718772827,0.7981651376146788,0.5940170940170937,0.48530402935312444
RSI 21 | 35-70,-0.1158,-1.37,0.847,0.6610664718772827,0.7981651376146788,0.5940170940170937,0.48530402935312444
RSI 14 | 30-65,-0.1104,-1.6,0.8321,0.7005113221329438,0.5871559633027523,0.5450361604207754,0.41027166237832113
RSI 14 | 30-70,-0.1104,-1.6,0.8321,0.7005113221329438,0.5871559633027523,0.5450361604207754,0.41027166237832113
RSI 14 | 35-65,-0.1561,-1.66,0.9249,0.3666910153396641,0.5321100917431194,0.8500986193293887,0.15770186620860877
RSI 14 | 35-70,-0.1561,-1.66,0.9249,0.3666910153396641,0.5321100917431194,0.8500986193293887,0.15770186620860877
RSI 10 | 30-65,-0.1606,-2.07,0.9308,0.3338203067932799,0.15596330275229398,0.8694937541091385,-0.049338352139282615
RSI 10 | 30-70,-0.1606,-2.07,0.9308,0.3338203067932799,0.15596330275229398,0.8694937541091385,-0.049338352139282615
RSI 10 | 35-65,-0.2063,-2.24,0.9705,0.0,0.0,1.0,-0.3
RSI 10 | 35-70,-0.2063,-2.24,0.9705,0.0,0.0,1.0,-0.3
